CommunityName,State,agepct12t21,agepct12t29,agepct16t24,agepct65up,medIncome,pctWWage,perCapInc,whitePerCap,blackPerCap,indianPerCap,asianPerCap,otherPerCap,HispPerCap,pctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,Population,HouseholdSize,racepctblack,racepctwhite,racepctasian,racepcthisp,TotalPctDiv,PctKids2Par,NumImmig,PctImmigRecent,PctImmigRec5,HousVacant,NumInShelters,NumStreet,murders,murdPerPop,rapes,rapesPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Bakersfieldcity,CA,14.31,28.34,13.09,8.18,32154,79.72,14183,16203,7977,11929,14488,7490,8548,15,22.23,19.65,7.1,62.05,174820,2.8,9.44,72.66,3.57,20.51,14.05,65.04,13900,13.19,25.21,3708,349,31,27,14.06,39,20.31,568,295.8,1237,644.2,3650,1900.83,8498,4425.56,1595,830.64,113,58.85
Cypresscity,CA,14.79,28.06,13.95,7.06,50981,88.31,19147,20032,14246,23967,16648,12930,13311,4.46,12.49,26.62,4.48,71.44,42655,2.99,2.04,79.17,13.69,13.52,11.18,73.34,6587,13.3,19.86,436,0,0,1,2.14,7,15,57,122.18,84,180.06,423,906.71,1262,2705.14,348,745.95,16,34.3
PaloAltocity,CA,10.27,23.58,10.36,13.73,55333,79.02,32489,34296,23305,19393,22879,14992,19337,4.65,5.27,65.16,2.4,68.21,55900,2.31,2.88,84.9,10.44,4.99,12.24,77.02,10097,22.7,31.07,982,13,11,0,0,11,19.23,61,106.62,66,115.36,487,851.23,2596,4537.59,188,328.61,15,26.22
SouthElMontecity,CA,19.55,36.85,19.42,5.09,27074,86.29,8043,8582,3516,11980,10476,6427,7183,21.19,63.37,3.54,11.49,57.83,20850,4.37,0.49,65.84,5.22,84.57,8.95,61.45,9613,15.22,25.46,93,0,81,4,18.01,10,45.04,109,490.9,217,977.3,286,1288.06,375,1688.88,240,1080.89,11,49.54
Cudahycity,CA,19.01,36.96,19.06,3.73,22279,81.5,5935,7144,6403,6195,8890,5280,5507,27.54,68.7,2.82,10.24,56.99,22817,4.34,1.15,30.38,1.76,88.92,10.66,59.29,12603,17.7,32.71,155,0,0,3,12.96,7,30.23,69,297.98,290,1252.38,144,621.87,319,1377.61,162,699.6,6,25.91
Albanycity,CA,9.56,23.73,10.12,11.57,34836,78.19,18158,20214,17108,9093,12484,9627,11871,9.59,8.15,55.47,2.96,65.62,16327,2.27,6.01,70.7,19.56,8.11,13.27,69.72,4112,27.04,41.12,276,0,0,1,5.9,1,5.9,42,247.63,58,341.96,124,731.09,467,2753.38,91,536.52,0,0
LaMiradacity,CA,16.12,28.36,15.09,10.61,47143,83.09,16415,17025,11496,15403,14966,13009,13477,3.89,18.94,17.8,4.57,64.75,40452,3.18,1.39,81.23,8.24,25.86,8.89,75.14,6418,12.62,18.11,623,0,0,2,4.29,9,19.32,83,178.21,209,448.74,404,867.42,696,1494.36,351,753.62,11,23.62
Danvillecity,CA,13.81,21.1,9.95,7.67,74472,87.36,31265,31909,27799,19538,24156,23084,26835,2.1,4.27,48.33,2.41,70.87,31306,2.83,0.83,91.59,6.48,4.11,8.44,86.84,2851,4.14,8.21,402,0,0,1,2.57,1,2.57,5,12.85,3,7.71,156,400.99,504,1295.5,18,46.27,9,23.13
SanGabrielcity,CA,13.77,28.64,14.2,11.71,32559,77.74,13733,17313,11260,14945,10702,9728,10416,15.17,29.14,21.79,6.15,59.54,37120,3.04,1.06,47.96,32.45,36.29,10.09,69.01,15840,20.21,30.51,520,0,0,4,10.48,14,36.68,164,429.62,132,345.79,448,1173.6,605,1584.89,271,709.93,9,23.58
SanLuisObispocity,CA,23.32,47.67,34.93,10.54,25982,79.88,14760,15394,8508,12730,11645,7287,8741,27.39,11.01,34.88,5.68,57.13,41958,2.48,1.9,88.68,5.11,9.42,8.96,70.13,3616,17.39,28.62,925,116,1,0,0,11,27.15,32,78.99,196,483.83,368,908.42,1429,3527.52,110,271.54,48,118.49
SantaBarbaracity,CA,11.83,28.99,14.97,13.5,33667,75.02,18934,21781,11372,12656,15436,7652,8412,12.68,20.9,33.12,4.6,65.45,85571,2.49,2.24,77.75,2.33,31.46,13.64,63.88,19281,22.05,32.7,1878,314,46,5,5.81,44,51.13,159,184.76,463,538.02,938,1089.99,3317,3854.47,226,262.62,18,20.92
Moorparkcity,CA,12.66,26.08,10.6,3.58,60368,91.42,19183,20528,21398,19008,20585,9574,11445,4.29,14.67,28.42,3.58,76.51,25494,3.35,1.55,78.88,6.63,22.02,8.04,84.09,3914,11.5,19.93,294,0,0,1,3.43,3,10.29,12,41.15,53,181.74,159,545.21,239,819.53,44,150.88,8,27.43
BellGardenscity,CA,20.41,36.99,18.83,3.79,23819,85.24,6125,6998,5121,4385,4820,5636,5672,26.08,73.66,1.72,13.37,56.22,42355,4.58,0.53,38.18,1.29,87.53,9.28,61.95,22068,17.75,28.62,302,0,0,8,18.76,11,25.79,214,501.82,327,766.8,669,1568.77,562,1317.86,393,921.56,10,23.45
FountainValleycity,CA,16.68,29.12,15.57,6.56,56255,87.35,20699,21973,21896,16545,16238,13286,14950,3.54,11.27,31.33,3.96,70.72,53691,3.08,0.95,78.23,17.73,8.11,9.69,78.73,10439,10.59,20.26,612,0,3,3,5.38,3,5.38,88,157.86,57,102.25,394,706.79,1971,3535.74,387,694.23,9,16.14
Gilroycity,CA,16.13,29.6,13.79,6.68,40955,84.07,14241,16300,13170,29142,16256,8185,8805,12.9,31.55,16.18,7.82,66.25,31487,3.31,1.2,68.17,4.01,47.27,11.57,68.79,4883,14.46,25.29,255,94,2,2,5.92,9,26.64,40,118.38,216,639.26,406,1201.57,1223,3619.52,133,393.62,78,230.84
Claremontcity,CA,22.42,32.35,21.82,10.52,53479,81.23,22161,23521,20713,22294,14436,11970,12466,5.28,7.2,51.18,4.22,62.63,32503,3.1,5,82.24,8.51,10.26,8.53,76.48,3961,11.03,20.27,359,0,0,3,8.75,5,14.58,55,160.37,60,174.95,438,1277.12,1086,3166.55,240,699.79,13,37.91
SierraMadrecity,CA,8.79,20.17,8.56,13.45,46502,78.97,24947,24890,20891,16120,31842,13547,14719,5.24,8.03,39.91,2.43,67.43,10762,2.32,0.85,91.74,5.1,9.76,13.05,75.34,956,10.67,19.56,239,0,0,1,8.66,0,0,2,17.32,13,112.56,43,372.33,90,779.29,23,199.15,1,8.66
Sangercity,CA,17.14,30.54,15.13,9.22,24470,77.19,8461,10729,5071,9034,14810,5901,6455,21.04,50.77,6.69,15.72,55.32,16839,3.48,0.11,47.7,2.48,72.86,9.8,64.16,3965,13.77,26.91,96,0,0,0,0,2,11.09,8,44.37,126,698.8,268,1486.33,453,2512.34,105,582.33,9,49.91
PleasantHillcity,CA,10.27,24.1,10.07,10.55,46885,81.66,21950,22457,21723,14713,18600,14042,17071,3.63,7.6,35.36,3.2,70.91,31585,2.43,1.4,89.31,6.98,6.65,13.96,76.69,3461,13.72,20.17,649,3,22,0,0,3,9.44,58,182.42,109,342.83,415,1305.28,1266,3981.88,147,462.35,9,28.31
ElCentrocity,CA,17.31,29.41,13.77,7.26,25147,76.78,9898,12234,7638,8813,10858,5819,6357,23.25,40.47,13.52,13.9,52.69,31384,3.26,4.49,59.96,2.5,65.26,11.32,66.91,9171,13.76,20.83,547,53,0,1,2.65,18,47.64,82,217.03,160,423.48,818,2165.05,1695,4486.26,279,738.45,24,63.52
Pacificacity,CA,12.25,25.31,11.47,6.95,47533,87.27,18553,19583,14550,17285,15490,14532,14932,4.52,13.45,22.81,3.35,73.39,37670,2.82,5.21,76.28,13.63,13.54,11.75,73.76,5527,8.3,12.63,400,3,0,2,5.04,10,25.19,21,52.89,213,536.46,166,418.08,631,1589.22,97,244.3,13,32.74
Lompoccity,CA,12.41,27.18,11.59,7.86,31702,79.69,13384,14655,17088,9983,10533,6720,8647,15.07,21.56,14.22,7.34,58.67,37649,3.01,7.85,70.52,5.42,26.83,14.78,65.94,5057,23.12,30.93,757,21,119,1,2.4,13,31.16,48,115.04,133,318.76,402,963.47,1376,3297.86,86,206.12,18,43.14
Gardenacity,CA,12.44,27.8,13.22,9.81,33063,83.08,14601,14848,14587,9638,16252,8897,9166,9.78,26.64,16.47,5.88,65.08,49847,2.75,23.5,32.16,33.23,23.08,12.99,62.14,14567,16.46,26.82,911,0,0,7,13.02,12,22.33,639,1188.9,437,813.07,787,1464.27,1201,2234.54,957,1780.56,17,31.63
SanRamoncity,CA,14.1,26.5,12.01,4.06,63607,92.19,25196,25806,25648,22307,18770,28695,21065,1.75,4.62,42.86,2.77,78.7,35303,2.75,2.01,87.1,8.99,5.85,10.55,84.35,3550,11.69,18.06,686,0,0,0,0,3,7.48,11,27.43,18,44.88,173,431.38,786,1959.9,70,174.55,6,14.96
Palmdalecity,CA,12.63,28.1,11.26,4.46,41974,86.49,14606,15525,14912,10592,13806,9346,9841,8.87,20.16,13.3,6.92,67.12,68842,3.14,6.39,75.68,4.4,22.01,11.31,76.18,9209,18.82,27.97,2448,0,0,8,7.7,49,47.14,250,240.52,929,893.76,1020,981.31,1871,1800.03,746,717.7,57,54.84
Bellcity,CA,17.69,35.61,18.2,5.88,22515,78.92,7104,7949,8209,5401,8103,6427,6376,26.13,66.39,3.72,12.37,54.41,34365,3.81,1.05,42.04,1.37,86.08,10.19,62.55,19600,18.12,27.16,388,190,0,8,22.31,6,16.73,166,462.83,131,365.25,235,655.22,283,789.05,282,786.26,3,8.36
Oceansidecity,CA,12.55,28.56,13.63,13.1,33453,75.22,14522,16294,10091,15767,10415,7449,7651,10.07,18.79,18.79,6.82,60.96,128398,2.75,7.89,74.72,6.09,22.57,11.8,69.8,20095,18.42,29.07,4368,46,792,18,12.25,66,44.91,446,303.48,969,659.35,2007,1365.64,3527,2399.91,1974,1343.19,66,44.91
Tracycity,CA,12.99,27.63,11.65,7.32,40256,84.02,14298,14564,12244,12977,15438,10295,9750,7.39,22.94,12.13,7.28,66.15,33558,2.99,2.55,86.25,4.62,24.27,11.77,75.51,3339,9.61,16.38,966,11,0,0,0,8,17.79,27,60.05,279,620.54,362,805.14,1433,3187.21,195,433.71,11,24.47
SanDiegocity,CA,15.18,32.67,17.07,9.3,33686,80.04,16401,19807,10375,11893,10628,7160,8242,13.38,17.74,29.77,5.72,65.09,1110549,2.73,9.39,67.12,11.79,20.67,12.8,66.26,232138,17.52,27.84,25626,2846,2101,133,11.49,396,34.2,4651,401.72,8283,715.43,14583,1259.58,37862,3270.25,19319,1668.64,245,21.16
SantaRosacity,CA,12.69,24.79,12.06,14.57,35237,71.97,17259,18093,10105,9553,11468,9291,9749,8.3,14.3,26.88,4.62,62.12,113313,2.48,1.79,89.37,3.36,9.47,14.42,69.48,11095,15.21,27.64,2018,219,33,7,5.95,102,86.77,197,167.59,326,277.33,1545,1314.33,5011,4262.87,508,432.16,58,49.34
Placentiacity,CA,16.43,31.71,16.67,6.58,50945,88.93,18924,21210,14383,16836,15495,8494,9719,7.74,18.32,30.16,4.31,72.01,41259,3.09,1.85,76.18,8.19,24.66,10,73.65,7897,19.62,30.1,364,10,0,3,6.94,4,9.26,44,101.81,93,215.19,309,714.98,773,1788.61,248,573.83,35,80.98
BuenaParkcity,CA,13.83,29.64,14.3,7.48,41435,87.27,15176,16456,14122,12137,13303,9928,10756,8.03,23.34,15.93,5.7,67.6,68784,3.1,2.54,70.89,14.45,24.54,12.08,69.09,15582,16.2,31.54,990,6,8,7,9.58,19,26.01,203,277.95,188,257.41,994,1360.97,2100,2875.29,949,1299.36,14,19.17
Duartecity,CA,13.81,25.74,12.2,9.51,37695,82.72,14103,15289,13094,9235,16157,9173,8954,7.82,26.61,22.32,6.41,61.87,20688,3.17,8.94,61.47,11.68,34.61,11.41,72.07,5722,15.62,22.89,228,0,0,1,4.43,8,35.45,42,186.12,128,567.23,195,864.13,324,1435.79,187,828.68,2,8.86
Cupertinocity,CA,11.13,23.16,10.24,7.93,64587,89.43,29118,31044,20034,22107,23987,19313,19559,3.16,5.48,52.06,2.75,72.64,40263,2.62,0.91,74.44,23.01,4.93,10.85,82.34,8917,20.07,28.81,697,0,0,1,2.33,6,13.98,43,100.22,100,233.07,421,981.24,1148,2675.68,97,226.08,16,37.29
Turlockcity,CA,14.5,28.71,13.76,10.8,27293,77.84,11936,12746,9549,12076,10614,6532,7405,13.23,30.39,17.05,8.77,57.77,42198,2.87,1.18,82.52,4.37,20.97,11.47,70.47,7940,13.99,22.07,711,81,0,2,4.29,24,51.51,68,145.94,301,646.02,833,1787.82,2165,4646.62,505,1083.85,53,113.75
Concordcity,CA,12.92,27.42,12.7,8.56,41675,83.99,17566,18356,14825,14266,14431,10610,12310,6.69,11.93,26.14,4.58,70.43,111348,2.65,2.36,84.03,8.68,11.46,13.55,72.72,15735,19.38,30.95,1775,47,6,5,4.45,44,39.13,210,186.75,342,304.13,1604,1426.4,4845,4308.54,878,780.78,30,26.68
TwentyninePalms-MorongoValle,CA,16.94,31.06,18.44,15.31,21603,63.15,11018,11393,8365,7814,8834,8593,7793,15.23,24.21,11.26,7.16,53.52,58362,2.77,5.91,87.33,2.25,8.92,12.16,69.9,2863,11.46,15.02,8819,0,6,1,7.94,11,87.3,28,222.22,87,690.48,325,2579.37,358,2841.27,55,436.51,8,63.49
Rocklincity,CA,13.1,24.39,10.73,8.68,40417,79,17729,18036,20535,10960,13909,10972,11431,5.61,10.74,26.07,4.44,68.77,19033,2.69,0.75,93.6,2.64,7,11.7,78.76,870,4.94,11.15,496,0,0,1,3.8,7,26.57,8,30.36,29,110.06,177,671.75,468,1776.16,70,265.66,3,11.39
SuisunCitycity,CA,15.47,28.47,11.88,3.3,40865,87.72,12539,14067,12461,13887,8836,8957,8845,9.37,17.9,12.84,7.31,67.79,22686,3.39,14.26,59.55,17.05,16.07,10.59,75.07,3789,16.07,28.29,336,0,0,1,3.64,15,54.55,35,127.29,55,200.02,288,1047.39,503,1829.29,100,363.68,17,61.82
Haywardcity,CA,13,28.98,13.67,9.72,36058,81.74,15048,16435,14744,12684,13549,10182,10969,9.67,23.75,16.99,6.11,64.64,111498,2.78,9.83,61.8,15.55,23.92,13.33,64.34,23580,18.47,29.69,2099,144,17,8,6.89,53,45.62,399,343.46,839,722.21,1737,1495.21,4493,3867.57,977,841,55,47.34
SantaPaulacity,CA,15.72,30.19,14.85,10.71,31605,76.85,11650,14167,12319,8991,10963,7825,8229,12.15,39.95,9.94,7.66,61.27,25062,3.27,0.31,59.28,1.03,58.87,9.89,67.7,6205,16.16,26.14,398,0,0,2,7.75,10,38.73,62,240.1,149,577,517,2002.09,745,2885.02,103,398.87,5,19.36
Monroviacity,CA,12.7,28.61,13.22,9.73,35684,78.51,15495,17770,11696,17835,14352,7731,8575,12.37,22.7,19.72,6.2,65.73,35761,2.7,10.14,69.66,4.53,28.46,14.69,63.13,7066,24.12,35.71,702,0,0,1,2.57,17,43.64,102,261.82,246,631.45,430,1103.75,1105,2836.39,346,888.14,2,5.13
Dixoncity,CA,14.92,27.26,11.75,7.16,36710,84.58,13984,14900,6778,36051,19091,7964,9118,6.65,23.11,18.18,8.25,64.89,10401,3.06,1.31,81.35,2.64,28.44,10.17,76.8,1396,7.95,18.7,151,0,0,1,8.6,3,25.8,14,120.4,28,240.8,93,799.79,463,3981.77,50,430,9,77.4
Marysvillecity,CA,13.53,27.43,13.09,12.4,21529,70.31,11809,12940,7801,6666,7442,6633,8295,16.38,23.91,11.56,11.6,51.19,12324,2.57,5.17,80.38,6.72,10.93,17.87,57.02,900,16,34.44,284,240,20,2,15.1,8,60.41,33,249.19,120,906.14,160,1208.19,685,5172.54,118,891.04,8,60.41
ManhattanBeachcity,CA,8.1,24.76,9.84,8.07,67723,84.67,38932,39357,22951,19756,37456,22523,27415,3.78,4.05,56.35,2.36,74.6,32063,2.29,0.64,93.48,4.4,5.13,11.96,82.2,2598,13.47,17.67,703,0,1,1,2.99,5,14.95,71,212.23,37,110.6,559,1670.9,874,2612.46,286,854.88,5,14.95
Fremontcity,CA,12.66,27.74,12.06,6.11,51231,89.53,20101,21066,16182,19867,19293,13221,14640,4.25,13.4,29.93,4.19,72.63,173339,2.88,3.79,70.6,19.42,13.32,10.71,77.91,34764,14.43,24.15,2202,68,12,4,2.17,39,21.14,135,73.17,714,387,1584,858.55,3945,2138.23,824,446.62,50,27.1
PalmSpringscity,CA,8.95,19.86,9.63,23.11,27538,64.72,19725,21757,9890,11614,14120,7385,8330,12.6,22.92,20.36,5.41,54.34,40181,2.16,4.51,83.15,3.34,18.68,16.1,63.36,8101,16.75,30.39,11895,38,2,7,17.57,18,45.19,155,389.11,324,813.38,1189,2984.89,1875,4707.03,505,1267.76,82,205.85
Mantecacity,CA,14.82,27.77,12.63,7.43,35083,79.81,12813,12961,11933,12431,11521,11187,9866,9.88,25.12,10.11,6.97,62.15,40773,3.03,1.48,89.52,3.46,17.76,12.82,72.84,2880,10.42,18.89,541,8,0,1,2.25,15,33.78,59,132.88,199,448.18,501,1128.33,2002,4508.81,469,1056.26,13,29.28
Montclaircity,CA,15.59,30.74,15.05,7.06,33084,83.33,11530,13287,11138,12321,9119,7333,8166,16.75,31.87,10.12,7.57,64.4,28434,3.33,9.43,61.63,6.79,38.16,12.77,63.73,5889,22.52,37.94,377,25,20,9,31.37,17,59.26,180,627.46,169,589.12,555,1934.67,1873,6529.09,705,2457.56,5,17.43
Fillmorecity,CA,16.91,29.82,14.65,10.03,33482,78.32,10674,11410,0,10018,11174,8342,7883,13.23,43.22,8.59,6.59,61.72,11992,3.53,0.21,75.43,0.87,59.3,8.53,73.2,2985,14.2,22.38,128,0,0,1,8.03,7,56.18,5,40.13,74,593.85,124,995.1,182,1460.56,32,256.8,6,48.15
Antiochcity,CA,13.91,27.25,12.17,6.93,40936,83.66,15153,15645,12255,12929,14270,10395,10867,9.12,17.42,14.87,6.63,66.64,62195,2.91,2.61,85.42,4.83,15.63,13.12,72.07,4814,11.3,19.24,1572,48,26,7,9.54,21,28.62,157,213.94,344,468.75,865,1178.7,2058,2804.35,390,531.44,81,110.38
SanMateocity,CA,10.15,24.24,10.96,14.48,42894,77.92,22746,24613,15951,24179,16970,11610,11933,6.16,14.73,30.16,4.25,67.58,85486,2.41,3.58,78.57,13.31,15.48,12.55,73.21,20506,16.78,25.87,1448,297,136,3,3.4,22,24.92,119,134.8,245,277.54,560,634.37,2136,2419.66,409,463.31,14,15.86
Daviscity,CA,25.63,47.53,34.09,5.54,29044,86.52,15269,16706,10026,7660,9853,8574,9239,25.47,5.02,63.78,5.43,63.15,46209,2.58,3.01,79.75,13.16,7.41,8.14,75.47,6434,23,30.25,356,0,0,1,2.06,14,28.86,22,45.34,30,61.83,339,698.72,2415,4977.64,193,397.8,19,39.16
Lynwoodcity,CA,19.35,35.77,18,4.57,25961,79.31,7260,7543,10006,5553,7439,5815,6049,21.84,59.08,3.91,12.46,53.9,61945,4.38,23.65,23.96,2.22,70.33,9.89,59.34,27216,18.18,27.69,367,57,0,22,33.78,33,50.66,676,1037.86,1195,1834.68,771,1183.71,887,1361.81,1028,1578.28,59,90.58
Berkeleycity,CA,18.67,36.55,23.96,9.53,29737,77.71,18720,23045,11134,10495,12829,8833,10281,17.54,9.68,58.67,5.62,62.44,102724,2.36,18.77,62.14,14.78,8.36,12.65,59.45,17278,19.01,27.83,2282,496,269,8,7.97,35,34.88,815,812.3,773,770.44,2383,2375.11,7915,7888.81,1161,1157.16,64,63.79
Ontariocity,CA,15.86,31.88,15.35,5.84,35788,85.52,12120,13639,12283,12888,11774,7906,8056,13.56,31.47,10.98,7.32,65.29,133179,3.31,7.3,64.62,3.89,41.7,12.05,69.05,30327,18.05,30.03,2259,145,37,19,14.02,66,48.71,642,473.79,846,624.34,2469,1822.1,4827,3562.28,1915,1413.25,64,47.23
Bellflowercity,CA,12.77,28.98,13.71,9.83,32711,81.27,14304,15614,12758,13154,12707,9164,9665,9.62,27.66,11.97,5.88,64.54,61815,2.7,6.27,69.77,10.09,23.9,15.91,63.25,11741,21.8,34.01,1212,0,0,4,5.97,28,41.79,383,571.62,729,1088.03,910,1358.17,1454,2170.08,1137,1696.96,22,32.83
Rosevillecity,CA,12.77,24.5,10.58,9.87,39975,79.69,17430,17435,36450,12017,18386,12802,13969,6.83,13.08,23.96,4.99,65.13,44685,2.69,0.91,91.53,3.32,10.8,12.89,74.33,2886,10.57,19.47,1183,129,11,1,1.88,12,22.52,56,105.1,219,411,754,1415.03,1914,3592.01,442,829.5,27,50.67
PicoRiveracity,CA,17.17,31.31,16.12,8.93,34383,82,10454,10998,14888,10740,16781,8980,9432,11.61,47.73,6.1,8.44,57.83,59177,3.7,0.69,58.78,3.16,83.2,10.54,61.81,17336,12.09,20.03,314,23,0,8,12.72,18,28.63,203,322.84,619,984.41,478,760.18,836,1329.52,499,793.58,10,15.9
ElSegundocity,CA,10.2,28.13,11.27,8.9,46352,85.52,23583,24345,18792,21006,17401,11904,20132,4.25,9.6,32.49,3.32,73.78,15223,2.25,1.01,90.52,5.02,9.08,15,73.41,1993,17.01,20.07,417,0,0,1,6.38,7,44.69,33,210.69,27,172.38,230,1468.43,647,4130.75,174,1110.9,6,38.31
Orangecity,CA,14.63,30.19,15.4,7.74,46539,84.83,19064,20081,14741,14144,18035,9473,9461,7.99,18.34,25.58,4.57,70.09,110658,3.01,1.4,82.99,7.9,22.84,11.63,70.62,22278,25.32,36.36,1227,159,11,3,2.56,30,25.56,234,199.37,289,246.23,1444,1230.28,3033,2584.09,982,836.66,42,35.78
Campbellcity,CA,9.93,29.11,12.28,8.41,42489,84.27,20759,21750,18108,17035,16119,13066,13936,5.76,11.4,30.97,3.42,73.97,36048,2.36,1.98,83.64,9.48,10.65,16.41,65.87,4494,14.75,26.86,554,0,0,0,0,17,45.33,44,117.33,86,229.33,320,853.31,1367,3645.24,193,514.65,9,24
Montereycity,CA,13.54,32.59,16.84,11.38,34727,81.09,18174,18930,12314,15393,13662,12785,12534,6.58,11.47,39.85,2.23,71.32,31954,2.52,2.93,86.62,7.32,7.81,12.96,76.53,4700,26.3,35.38,804,0,9,0,0,12,40.05,61,203.59,189,630.8,363,1211.53,1380,4605.83,114,380.48,14,46.73
Maderacity,CA,16.89,29.65,14.65,10.22,21401,71.37,8883,11139,7055,7625,10428,5346,5648,26.93,47.5,8.91,17,49.98,29281,3.2,4.63,57.62,1.62,53.82,12.56,58.13,6391,14,28.7,371,35,3,3,8.85,23,67.88,137,404.33,254,749.64,488,1440.25,1302,3842.63,453,1336.95,13,38.37
RanchoCucamongacity,CA,15.06,28.75,12.87,4.73,46193,88.3,17239,18100,15108,18771,15616,12209,12161,5.47,14,21.06,4.87,70.52,101409,3.01,5.87,78.59,5.44,20.02,10.78,78.76,11305,12.06,22.15,2732,0,33,4,3.47,31,26.87,215,186.35,143,123.94,1262,1093.82,2728,2364.44,1008,873.67,24,20.8
DalyCitycity,CA,13.75,28.49,14.07,9.6,41533,84.46,14744,16488,15373,12993,13809,10848,10726,7.18,21.19,24.21,5.43,67.1,92311,3.18,7.7,39.45,43.84,22.35,10.26,67.43,41771,15.23,24.57,1152,121,60,7,7.41,14,14.81,165,174.59,362,383.03,361,381.97,1932,2044.25,645,682.47,6,6.35
Selmacity,CA,16.41,29.56,14.35,10.25,21198,73.14,8175,9140,3050,9943,11638,5749,5830,24.12,46.07,8.91,17.23,50.83,14757,3.24,1.39,64.47,3.34,61.28,11.22,59.86,2909,21.31,34.17,140,0,0,1,6.06,4,24.24,30,181.83,186,1127.34,181,1097.04,486,2945.63,250,1515.24,12,72.73
LaVernecity,CA,14.75,25.22,12.82,11.14,46587,79.85,18622,19413,15505,13318,17107,11693,14102,4.42,15.42,27.15,3.94,65.75,30897,2.88,3,83.04,7.18,18.37,9.32,79.22,3660,6.94,12.92,373,0,0,2,6.01,2,6.01,34,102.18,49,147.27,381,1145.07,705,2118.84,182,546.99,13,39.07
Carlsbadcity,CA,11.12,24.15,11.03,12.11,45739,78.29,21764,22545,21090,18008,22607,8225,9823,6.84,10.4,35.8,4.81,66.16,63126,2.53,1.18,89.76,3.17,13.78,12.96,75.48,8003,19.91,28.91,2240,5,936,5,7.6,22,33.44,96,145.92,233,354.16,817,1241.83,1755,2667.58,621,943.91,8,12.16
Napacity,CA,12.51,24.69,11.81,13.09,35479,75.19,16219,16858,20598,16548,13310,7974,8541,7.73,19.24,19.18,4.78,61.92,61842,2.59,0.38,90.3,2.09,15.24,13.52,70.47,6736,19.34,32.48,1008,57,1,3,4.7,20,31.37,43,67.44,324,508.13,491,770.04,2268,3556.92,211,330.91,79,123.9
DiamondBarcity,CA,15.41,27.27,13.07,4.08,60651,91.63,21497,22706,22110,26663,18895,18226,16401,3.48,9.37,37.02,3.55,73.68,53672,3.18,5.66,63.66,24.89,17.02,8.58,83.05,13805,14.65,22.29,763,0,0,2,3.38,5,8.46,67,113.32,204,345.04,390,659.64,702,1187.36,323,546.32,14,23.68
Reddingcity,CA,13.12,25.05,11.86,13,25828,71.05,13040,13488,7204,10277,5694,7031,10361,14.31,19.01,16.64,8.74,55.53,66462,2.55,1.05,92.6,3.27,3.96,15.71,64.95,2543,6.8,21.67,1133,302,282,6,8.19,62,84.62,114,155.58,281,383.5,1073,1464.41,3066,4184.41,342,466.75,20,27.3
Camarillocity,CA,12.46,23.03,10.7,15.55,48219,76.14,19930,20713,15520,14299,16858,12673,12213,4.37,12.15,27.19,3.68,62.6,52303,2.89,1.6,86.34,6.35,12.09,9.99,80.68,6060,15.31,20.07,622,0,1,0,0,13,22.8,41,71.91,100,175.38,263,461.25,790,1385.5,85,149.07,16,28.06
Chicocity,CA,24.81,48.68,34.62,7.35,19005,78.55,10584,11060,7915,7376,5148,6908,7197,32.03,14.36,31.76,9.2,55.23,40079,2.58,1.82,89.47,4,8.69,10.82,61.02,2710,24.76,35.39,787,72,55,1,2.28,33,75.24,47,107.16,116,264.47,601,1370.24,1983,4521.1,160,364.79,25,57
Modestocity,CA,14.15,27.02,12.28,9.41,31701,77.63,13572,14968,8854,9957,7208,7591,8463,12.98,25.21,15.82,8.9,58.57,164730,2.84,2.68,80.56,7.89,16.34,13.72,70.49,20951,13.18,26.13,2920,210,38,12,6.77,80,45.14,356,200.85,994,560.81,2555,1441.52,7339,4140.62,1593,898.76,284,160.23
Saratogacity,CA,12.18,19.3,9.92,12.1,86674,82.98,40660,42193,23919,10091,32867,29415,32349,1.44,5.01,57.87,2.86,62.66,28061,2.79,0.42,83.69,15.02,3.35,6.59,89.2,4478,12.59,18.36,265,0,0,0,0,4,13.33,13,43.33,35,116.65,178,593.23,332,1106.48,14,46.66,2,6.67
Vacavillecity,CA,12.96,29.21,12.85,6.27,40679,85.72,14490,15714,10114,10556,13323,7848,9264,6.09,17.65,16.86,4.9,60.2,71479,3.16,8.91,78.84,3.81,15.9,10.72,74.45,5576,11.85,19.78,1033,0,0,1,1.2,20,23.97,75,89.9,266,318.85,563,674.86,2401,2878.03,218,261.31,27,32.36
Rosemeadcity,CA,17.19,31.91,15.97,8.05,29770,80.37,9796,12601,10771,9424,8792,7539,8413,20.02,46.16,9.96,8.41,56.21,51638,3.77,0.62,35.44,34.33,49.66,8.81,66.59,24987,18.06,27.35,433,0,3,8,15.3,10,19.13,265,506.84,377,721.05,631,1206.85,893,1707.95,452,864.49,10,19.13
Coltoncity,CA,14.95,33.07,15.3,6.01,28838,83.53,10924,12625,9049,10695,11208,7918,8010,15.59,29.69,13.37,9.69,61.56,40213,2.99,8.72,58.22,4.27,49.74,14,62.92,6801,19.53,31.58,1301,100,9,6,14.48,15,36.19,172,415,261,629.74,803,1937.46,1390,3353.76,640,1544.18,18,43.43
