State,agepct12t21,agepct12t29,agepct16t24,agepct65up,medIncome,pctWWage,perCapInc,whitePerCap,blackPerCap,indianPerCap,asianPerCap,otherPerCap,HispPerCap,pctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,Population,HouseholdSize,racepctblack,racepctwhite,racepctasian,racepcthisp,TotalPctDiv,PctKids2Par,NumImmig,PctImmigRecent,PctImmigRec5,HousVacant,NumInShelters,NumStreet,murders,murdPerPop,rapes,rapesPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
CA,18.87,36.97,19.55,5.0,23595.0,81.15,7238.0,8395.0,9314.0,8517.0,14895.0,6411.0,6615.0,24.28,69.4,5.26,12.78,58.54,56065.0,4.03,1.06,31.19,1.85,91.85,8.99,61.51,33299.0,17.58,29.62,612.0,93.0,0.0,9,16.07,14.0,25.0,524.0,935.85,291.0,519.72,604.0,1078.73,1186.0,2118.16,2000.0,3571.94,16.0,28.58
CA,11.46,25.06,10.42,9.19,39572.0,78.32,19678.0,22551.0,6181.0,6565.0,11260.0,8222.0,8066.0,6.46,18.58,21.07,6.12,65.24,11215.0,2.85,1.84,79.72,1.52,26.25,12.74,71.86,1324.0,13.97,21.22,2495.0,0.0,0.0,0,0.0,3.0,17.31,10.0,57.71,118.0,681.02,429.0,2475.9,448.0,2585.56,61.0,352.05,3.0,17.31
CA,13.95,27.8,12.98,5.74,52970.0,88.62,21073.0,22050.0,19038.0,18669.0,17188.0,10831.0,12657.0,3.71,12.06,25.87,3.51,74.07,110642.0,2.88,1.53,87.27,4.16,13.35,10.59,81.22,12718.0,15.43,23.25,2659.0,0.0,0.0,4,3.22,22.0,17.7,131.0,105.39,619.0,498.0,886.0,712.8,1770.0,1424.0,468.0,376.51,34.0,27.35
CA,13.45,24.65,11.3,13.25,24402.0,68.96,11533.0,12197.0,6753.0,6654.0,11687.0,4971.0,5263.0,13.3,23.71,13.94,7.2,56.08,14599.0,2.58,1.0,87.99,1.75,11.71,17.19,58.85,934.0,29.23,45.61,163.0,105.0,6.0,0,0.0,11.0,75.17,15.0,102.5,39.0,266.5,232.0,1585.35,758.0,5179.72,32.0,218.67,7.0,47.83
CA,12.03,20.23,9.58,12.53,64806.0,78.92,34281.0,35061.0,16638.0,34713.0,24812.0,14099.0,18351.0,4.16,4.1,58.87,2.24,66.71,23501.0,2.62,0.57,92.78,5.82,3.24,9.08,85.56,2204.0,10.71,13.93,294.0,0.0,1.0,0,0.0,1.0,4.15,17.0,70.49,2.0,8.29,192.0,796.12,395.0,1637.85,26.0,107.81,2.0,8.29
CA,14.8,26.1,13.03,8.38,50268.0,83.5,20246.0,20998.0,14637.0,18319.0,18802.0,15217.0,15577.0,5.44,14.84,26.72,3.42,69.86,32397.0,2.96,3.77,81.7,8.56,17.32,11.3,75.51,4815.0,9.49,16.84,531.0,0.0,0.0,0,0.0,7.0,19.54,47.0,131.2,163.0,455.0,322.0,898.84,641.0,1789.3,153.0,427.09,9.0,25.12
CA,9.99,20.61,10.0,21.61,37315.0,68.08,25926.0,27404.0,12762.0,14527.0,14615.0,8584.0,9041.0,7.11,13.82,23.6,4.13,58.93,23252.0,2.19,0.96,91.35,1.81,13.75,13.7,70.83,3134.0,17.8,29.74,7653.0,0.0,0.0,4,14.99,4.0,14.99,43.0,161.12,147.0,550.81,888.0,3327.34,1733.0,6493.56,183.0,685.7,7.0,26.23
CA,13.76,24.66,10.4,4.26,56098.0,94.82,18948.0,21837.0,19592.0,15390.0,16455.0,15469.0,14488.0,2.1,9.73,34.73,4.37,76.77,16829.0,3.17,12.78,39.81,43.31,10.45,8.44,83.14,5242.0,8.62,15.19,344.0,0.0,1.0,1,5.07,1.0,5.07,8.0,40.58,54.0,273.93,93.0,471.77,233.0,1181.96,88.0,446.41,3.0,15.22
CA,14.78,32.22,15.93,9.05,33554.0,78.24,13552.0,15003.0,10520.0,11616.0,11102.0,8082.0,8373.0,8.82,21.12,15.91,4.9,68.64,20319.0,3.02,5.55,73.53,6.8,29.84,13.28,68.4,3100.0,8.58,20.32,749.0,0.0,0.0,3,13.0,3.0,13.0,35.0,151.62,71.0,307.57,159.0,688.79,302.0,1308.27,72.0,311.9,5.0,21.66
CA,13.99,33.75,15.53,5.34,34552.0,84.87,13550.0,15537.0,11207.0,11224.0,13451.0,8100.0,9165.0,13.07,30.65,13.11,7.5,67.43,27331.0,2.96,8.32,60.62,12.11,34.24,14.6,61.68,8030.0,17.33,27.63,551.0,33.0,0.0,2,6.88,8.0,27.53,218.0,750.28,352.0,1211.45,438.0,1507.43,689.0,2371.28,430.0,1479.9,20.0,68.83
CA,15.46,30.16,14.34,8.08,24727.0,75.05,10237.0,13041.0,8344.0,8590.0,3399.0,6470.0,6644.0,25.06,30.87,15.79,9.99,55.53,56216.0,3.07,6.87,61.68,15.23,29.86,13.34,64.81,10623.0,22.97,35.12,683.0,64.0,0.0,10,16.49,30.0,49.46,121.0,199.5,170.0,280.29,1376.0,2268.72,2563.0,4225.82,489.0,806.25,34.0,56.06
CA,11.81,20.96,9.53,20.73,27182.0,59.79,14131.0,14416.0,13630.0,13197.0,17313.0,8532.0,9398.0,7.56,26.14,12.42,5.18,50.54,32824.0,2.46,0.52,92.62,0.98,11.0,11.23,74.2,2414.0,6.63,9.03,957.0,44.0,0.0,5,13.61,5.0,13.61,24.0,65.32,96.0,261.29,628.0,1709.26,895.0,2435.97,179.0,487.19,8.0,21.77
CA,12.99,25.21,11.63,12.12,23287.0,68.89,11510.0,13074.0,8163.0,9874.0,6827.0,7540.0,8275.0,18.5,33.68,8.86,9.27,53.35,28898.0,2.61,2.39,71.27,9.09,24.43,17.31,60.23,4765.0,31.54,39.5,600.0,10.0,2.0,5,16.53,19.0,62.8,102.0,337.15,152.0,502.41,791.0,2614.53,1458.0,4819.2,405.0,1338.67,20.0,66.11
CO,11.14,24.93,9.09,5.29,34182.0,88.48,14405.0,14714.0,14139.0,11262.0,15085.0,10704.0,10109.0,8.43,14.97,28.11,3.93,76.18,14548.0,2.7,0.98,88.96,2.17,14.87,14.83,75.17,767.0,14.21,29.6,383.0,9.0,0.0,0,0.0,0.0,0.0,6.0,33.89,59.0,333.24,111.0,626.94,542.0,3061.28,28.0,158.15,7.0,39.54
CO,24.9,37.9,26.9,10.54,22996.0,77.82,11447.0,11903.0,1100.0,4094.0,10119.0,8752.0,8340.0,18.78,15.88,31.31,6.45,57.7,12430.0,2.7,0.31,89.69,1.09,11.62,10.88,68.41,211.0,44.08,44.08,321.0,64.0,1.0,1,7.09,10.0,70.93,9.0,63.84,31.0,219.89,120.0,851.18,924.0,6554.12,35.0,248.26,0.0,0.0
CO,19.66,34.21,21.15,9.64,23462.0,78.96,11461.0,12074.0,7642.0,5856.0,7764.0,6256.0,6306.0,19.46,23.42,25.08,5.67,62.52,60536.0,2.67,0.67,89.1,1.0,20.36,11.09,68.92,2852.0,20.02,34.29,1344.0,107.0,0.0,3,4.56,20.0,30.4,25.0,38.0,86.0,130.73,675.0,1026.05,3352.0,5095.31,171.0,259.93,41.0,62.32
CO,15.23,26.13,13.2,15.01,20189.0,70.72,10189.0,10577.0,18912.0,9233.0,4133.0,4017.0,4789.0,16.91,22.38,13.15,4.52,60.0,10362.0,2.4,0.18,93.51,0.23,10.62,11.07,73.72,312.0,14.1,14.1,474.0,0.0,0.0,0,0.0,2.0,18.94,1.0,9.47,14.0,132.6,67.0,634.59,374.0,3542.34,14.0,132.6,2.0,18.94
CO,9.42,20.29,6.65,4.05,43379.0,89.07,18146.0,18343.0,16473.0,22524.0,15114.0,12277.0,11576.0,4.65,7.72,42.86,3.24,79.53,12361.0,2.68,0.83,94.56,2.48,5.39,10.78,85.54,400.0,10.25,10.25,173.0,0.0,0.0,0,0.0,2.0,11.21,2.0,11.21,50.0,280.33,90.0,504.6,300.0,1681.99,22.0,123.35,1.0,5.61
CO,14.29,25.69,11.86,7.05,39014.0,86.66,15642.0,15862.0,11857.0,14063.0,11223.0,12306.0,11967.0,6.28,11.62,25.05,5.17,72.09,89235.0,2.73,0.57,94.28,1.98,7.44,11.9,76.34,3020.0,18.08,21.16,1797.0,13.0,0.0,0,0.0,19.0,19.42,48.0,49.07,194.0,198.32,618.0,631.77,2623.0,2681.43,229.0,234.1,27.0,27.6
CO,11.31,25.92,11.86,12.22,25106.0,76.35,15590.0,18191.0,10442.0,7703.0,9556.0,6993.0,7778.0,17.13,20.8,29.05,6.77,62.99,467610.0,2.22,12.84,72.11,2.35,22.96,16.61,58.02,34715.0,17.53,26.73,28684.0,1169.0,100.0,74,14.63,393.0,77.69,1863.0,368.3,2922.0,577.65,9128.0,1804.51,17858.0,3530.34,7558.0,1494.14,440.0,86.98
CO,17.19,32.43,18.85,9.06,29099.0,81.58,14969.0,15402.0,10175.0,8665.0,6601.0,9579.0,9799.0,11.52,11.94,33.41,5.14,64.64,13116.0,2.44,0.99,93.95,2.62,4.93,13.2,69.9,693.0,33.33,44.44,443.0,0.0,0.0,0,0.0,0.0,0.0,3.0,20.93,38.0,265.16,111.0,774.54,451.0,3147.02,48.0,334.94,12.0,83.73
CO,14.12,25.56,14.13,17.05,19042.0,66.78,11723.0,12153.0,5741.0,7863.0,5748.0,6889.0,6473.0,21.65,22.87,17.91,8.53,52.4,29034.0,2.27,0.82,91.82,0.99,11.11,16.79,59.91,993.0,11.98,19.23,888.0,45.0,29.0,4,12.29,11.0,33.8,22.0,67.59,151.0,463.93,448.0,1376.43,2129.0,6541.11,89.0,273.44,19.0,58.38
CO,11.8,21.53,9.88,20.52,18423.0,62.23,10166.0,10305.0,6427.0,9509.0,6628.0,6536.0,5438.0,18.95,25.18,13.7,9.17,43.99,12687.0,2.51,1.35,95.71,0.34,7.87,14.02,66.06,249.0,5.62,17.67,550.0,7.0,0.0,0,0.0,11.0,76.68,6.0,41.82,15.0,104.56,155.0,1080.44,484.0,3373.76,26.0,181.24,1.0,6.97
CO,13.46,28.67,12.36,4.43,36716.0,90.93,15456.0,15776.0,15034.0,10999.0,14142.0,10539.0,11012.0,6.62,11.6,23.76,4.19,77.03,74625.0,2.68,0.99,90.64,3.69,11.48,13.38,76.3,3153.0,18.27,23.98,2040.0,12.0,0.0,2,2.26,16.0,18.11,48.0,54.33,217.0,245.6,703.0,795.66,3182.0,3601.42,348.0,393.87,17.0,19.24
CO,12.43,24.93,11.73,10.75,34006.0,80.9,18360.0,18535.0,18581.0,10730.0,11136.0,10045.0,11036.0,7.34,10.15,35.7,4.62,67.42,33685.0,2.42,0.88,96.09,1.39,5.21,13.59,74.33,1032.0,12.79,21.41,873.0,0.0,0.0,0,0.0,9.0,23.22,29.0,74.82,70.0,180.6,265.0,683.71,657.0,1695.09,107.0,276.06,20.0,51.6
CO,14.54,26.59,11.34,5.17,39067.0,90.08,15766.0,16009.0,18653.0,21708.0,8391.0,10133.0,10608.0,5.05,8.25,27.88,3.76,75.78,24638.0,2.83,0.67,94.31,2.14,5.61,10.39,82.12,870.0,17.82,22.18,379.0,0.0,0.0,0,0.0,1.0,3.56,5.0,17.79,67.0,238.35,169.0,601.21,763.0,2714.34,38.0,135.18,21.0,74.71
CO,21.85,41.56,27.91,6.67,29407.0,84.76,17268.0,17842.0,10724.0,12860.0,10948.0,6710.0,8807.0,18.96,5.08,58.87,5.05,66.32,83312.0,2.4,1.26,92.53,3.85,4.83,10.73,71.57,6752.0,31.21,41.72,1589.0,213.0,29.0,1,1.14,20.0,22.79,40.0,45.59,122.0,139.04,947.0,1079.29,4398.0,5012.37,289.0,329.37,18.0,20.51
CO,12.94,28.19,12.27,6.26,33214.0,87.54,15255.0,16149.0,11254.0,10623.0,10496.0,11263.0,11457.0,7.43,9.7,26.3,4.71,74.15,222103.0,2.49,11.43,82.41,3.77,6.65,15.16,70.47,12519.0,14.3,21.45,10758.0,43.0,2.0,19,7.7,166.0,67.31,740.0,300.07,3532.0,1432.22,2909.0,1179.6,11512.0,4668.1,1489.0,603.79,119.0,48.25
CO,10.54,26.19,11.36,14.13,25422.0,77.64,13514.0,13785.0,11211.0,8739.0,8960.0,9830.0,9314.0,10.9,19.75,19.03,4.95,65.25,29387.0,2.22,1.21,93.83,1.53,7.99,16.76,63.97,1098.0,18.21,28.14,1656.0,0.0,0.0,0,0.0,18.0,53.67,55.0,163.99,191.0,569.5,385.0,1147.95,1872.0,5581.73,183.0,545.65,39.0,116.29
CO,12.97,24.03,10.43,11.41,30548.0,81.16,13345.0,13504.0,16413.0,4258.0,12276.0,9843.0,9327.0,7.86,15.84,18.6,5.03,64.93,37352.0,2.66,0.3,94.87,0.71,6.77,11.21,77.05,560.0,4.64,4.64,662.0,40.0,1.0,0,0.0,35.0,77.67,8.0,17.75,125.0,277.4,172.0,381.7,1246.0,2765.14,55.0,122.06,12.0,26.63
CO,14.93,28.27,13.66,6.33,34726.0,87.01,13619.0,13809.0,12965.0,9120.0,12629.0,11504.0,11047.0,5.34,16.94,13.84,5.34,70.75,27195.0,2.77,1.64,90.68,2.03,14.58,13.08,70.32,993.0,3.93,9.97,613.0,0.0,0.0,1,3.55,11.0,39.04,18.0,63.89,63.0,223.62,209.0,741.85,1120.0,3975.44,89.0,315.91,8.0,28.4
CO,20.89,38.17,24.27,6.78,26826.0,85.33,13439.0,13790.0,8160.0,8084.0,10423.0,7487.0,7479.0,16.95,8.55,42.71,5.64,64.74,87758.0,2.6,0.98,93.3,2.39,7.06,9.49,77.78,3896.0,39.32,49.02,1668.0,32.0,10.0,1,0.99,68.0,67.05,26.0,25.64,294.0,289.9,760.0,749.39,3447.0,3398.87,172.0,169.6,27.0,26.62
CO,12.26,26.6,12.44,9.4,34054.0,84.84,16726.0,17061.0,12238.0,15745.0,11833.0,11452.0,11390.0,7.6,11.82,29.63,4.78,70.2,126481.0,2.45,1.04,93.15,1.93,9.1,14.97,69.33,5143.0,10.25,15.77,4021.0,69.0,0.0,6,4.65,31.0,24.0,174.0,134.71,427.0,330.58,1256.0,972.38,5355.0,4145.8,615.0,476.13,73.0,56.52
CO,13.94,29.0,13.68,8.28,28539.0,83.02,13975.0,14758.0,9881.0,10548.0,8236.0,8313.0,8704.0,11.05,12.38,26.69,6.73,65.79,286215.0,2.54,7.16,85.63,2.46,9.3,13.53,72.43,13495.0,12.58,18.75,13794.0,273.0,24.0,19,6.24,265.0,87.05,389.0,127.78,882.0,289.71,3645.0,1197.29,13391.0,4398.6,1017.0,334.06,109.0,35.8
CO,14.96,27.4,12.67,9.27,20427.0,77.29,8651.0,8913.0,6781.0,4973.0,7411.0,7558.0,7344.0,23.23,39.44,3.37,10.59,57.45,16466.0,2.87,2.86,84.88,1.14,35.93,16.93,55.24,594.0,21.21,27.61,672.0,39.0,0.0,3,16.53,9.0,49.58,32.0,176.27,230.0,1266.94,395.0,2175.83,1502.0,8273.66,159.0,875.84,14.0,77.12
CO,14.19,25.22,12.35,14.32,20501.0,67.49,10168.0,10872.0,6901.0,6879.0,9397.0,6537.0,7040.0,21.65,26.79,13.77,9.28,49.54,98640.0,2.57,2.18,82.95,0.63,39.51,14.02,60.53,2234.0,13.65,18.53,2538.0,92.0,56.0,9,8.74,87.0,84.49,165.0,160.24,1474.0,1431.47,1337.0,1298.42,3640.0,3534.98,304.0,295.23,56.0,54.38
CO,13.28,25.97,11.43,8.66,32534.0,83.17,14037.0,14483.0,11807.0,10866.0,9799.0,7158.0,7202.0,7.82,15.48,20.45,5.98,68.92,51555.0,2.63,0.38,92.74,1.23,11.09,12.75,74.61,1970.0,14.01,24.16,910.0,0.0,0.0,3,5.2,30.0,52.03,20.0,34.68,51.0,88.44,466.0,808.13,2044.0,3544.67,83.0,143.94,1.0,1.73
CO,15.13,27.38,12.31,10.13,27126.0,79.37,12112.0,11759.0,77463.0,12812.0,13461.0,7569.0,7493.0,13.11,29.5,13.03,8.17,59.84,14203.0,2.97,1.08,82.3,1.41,34.61,12.2,70.28,1011.0,9.3,26.81,542.0,29.0,0.0,0,0.0,4.0,24.37,2.0,12.18,36.0,219.31,167.0,1017.36,614.0,3740.48,51.0,310.69,7.0,42.64
CT,11.86,27.51,12.36,9.76,44635.0,84.94,16723.0,17014.0,8297.0,13171.0,12425.0,10337.0,11655.0,2.89,21.62,17.59,4.01,68.24,45532.0,2.85,2.65,95.72,1.04,2.28,8.38,79.92,2377.0,9.38,11.7,629.0,8.0,1.0,1,2.19,0.0,0.0,23.0,50.46,17.0,37.29,282.0,618.62,906.0,1987.5,232.0,508.94,7.0,15.36
CT,11.37,23.38,11.09,15.64,45481.0,82.11,19668.0,19718.0,19828.0,8154.0,15573.0,19962.0,16970.0,1.79,20.02,24.89,3.44,67.54,29208.0,2.6,1.41,96.54,1.4,2.1,8.57,81.3,3194.0,4.85,7.51,386.0,0.0,0.0,0,0.0,4.0,13.68,3.0,10.26,16.0,54.72,144.0,492.44,784.0,2681.08,110.0,376.17,1.0,3.42
CT,17.06,34.55,19.17,10.81,25811.0,73.04,12968.0,16127.0,9616.0,7750.0,11739.0,7014.0,7420.0,21.29,28.97,26.7,9.25,56.71,130474.0,2.66,36.14,53.85,2.41,13.22,12.44,38.63,10633.0,23.59,31.16,5071.0,1344.0,16.0,22,18.39,130.0,108.69,1238.0,1035.08,1154.0,964.85,3417.0,2856.93,7719.0,6453.8,1873.0,1566.0,134.0,112.04
CT,12.67,24.15,11.24,9.03,50798.0,86.63,19408.0,19332.0,25248.0,13765.0,26565.0,0.0,16761.0,2.05,15.75,25.25,2.81,72.71,12996.0,2.9,1.26,97.99,0.51,0.89,6.47,86.25,392.0,2.04,2.04,129.0,0.0,0.0,0,0.0,1.0,7.6,1.0,7.6,5.0,38.0,70.0,531.96,173.0,1314.69,16.0,121.59,0.0,0.0
CT,11.88,24.75,11.72,12.78,44142.0,82.47,19099.0,19193.0,17452.0,17098.0,16650.0,11802.0,13952.0,3.72,18.1,23.39,5.5,66.37,49938.0,2.65,1.52,96.79,1.03,2.31,9.4,78.92,2604.0,8.64,12.52,1298.0,50.0,0.0,0,0.0,7.0,14.26,44.0,89.63,16.0,32.59,358.0,729.24,1884.0,3837.69,432.0,879.98,5.0,10.18
CT,11.66,21.27,10.23,14.64,49004.0,78.36,19974.0,20124.0,5526.0,13564.0,14160.0,0.0,21024.0,2.83,17.63,22.86,4.18,67.16,16787.0,2.79,0.5,98.24,0.99,1.33,6.47,86.3,1485.0,2.49,6.2,180.0,64.0,0.0,0,0.0,0.0,0.0,7.0,41.66,4.0,23.8,78.0,464.18,296.0,1761.49,42.0,249.94,0.0,0.0
CT,9.89,23.65,10.39,13.71,43578.0,82.71,22642.0,22779.0,15054.0,17000.0,24642.0,14888.0,17726.0,3.52,14.02,32.62,4.11,69.39,27603.0,2.37,1.19,96.96,1.28,1.58,10.85,78.04,1259.0,8.5,12.63,1393.0,98.0,35.0,1,3.58,2.0,7.16,7.0,25.05,10.0,35.78,68.0,243.31,350.0,1252.33,58.0,207.53,0.0,0.0
CT,11.18,22.08,10.5,14.2,65072.0,80.52,46070.0,47531.0,12000.0,354.0,35788.0,9591.0,21643.0,3.02,11.26,48.97,3.8,61.99,58441.0,2.63,2.13,93.26,3.49,4.42,7.73,83.61,10199.0,26.59,32.92,1323.0,75.0,3.0,1,1.69,0.0,0.0,18.0,30.34,12.0,20.23,189.0,318.56,1044.0,1759.68,141.0,237.66,6.0,10.11
CT,12.23,20.42,10.0,15.19,62021.0,79.43,26860.0,27043.0,18096.0,0.0,20961.0,5400.0,18898.0,2.32,11.01,43.07,3.18,64.47,12830.0,2.9,0.83,96.58,2.37,1.15,4.6,89.65,935.0,2.57,6.74,123.0,0.0,0.0,0,0.0,0.0,0.0,16.0,123.17,2.0,15.4,107.0,823.71,676.0,5204.0,57.0,438.8,4.0,30.79
CT,11.09,22.96,10.71,14.97,39651.0,77.8,20808.0,20815.0,18001.0,10674.0,32406.0,5854.0,12280.0,4.49,19.73,26.56,5.0,64.74,16919.0,2.41,0.58,98.5,0.53,1.3,9.64,79.48,978.0,2.86,10.22,906.0,4.0,0.0,0,0.0,0.0,0.0,7.0,41.57,1.0,5.94,82.0,486.91,360.0,2137.64,13.0,77.19,1.0,5.94
CT,12.01,26.89,12.0,13.05,36211.0,78.79,15618.0,16348.0,11356.0,14472.0,7914.0,7754.0,8389.0,7.31,27.41,15.85,5.13,65.43,59479.0,2.56,4.29,89.66,0.7,13.69,11.51,67.76,3583.0,8.74,15.32,1586.0,29.0,6.0,1,1.76,5.0,8.78,93.0,163.36,90.0,158.09,592.0,1039.91,1676.0,2944.07,300.0,526.98,9.0,15.81
CT,13.6,22.7,10.77,9.06,64538.0,86.91,28347.0,28500.0,25004.0,20400.0,21423.0,11618.0,22494.0,1.5,5.48,56.03,2.63,70.55,22023.0,2.78,0.84,97.32,1.68,1.15,6.52,88.97,1385.0,8.74,10.47,265.0,0.0,0.0,0,0.0,0.0,0.0,2.0,9.07,0.0,0.0,47.0,213.19,233.0,1056.88,8.0,36.29,4.0,18.14
CT,11.98,24.06,11.02,12.07,42783.0,82.72,18231.0,18288.0,17440.0,21576.0,21177.0,10046.0,13417.0,3.1,19.84,22.48,4.45,68.29,40822.0,2.69,1.01,97.13,0.92,3.22,8.94,82.53,2436.0,10.59,19.01,769.0,17.0,3.0,1,2.42,5.0,12.1,13.0,31.45,17.0,41.13,224.0,541.93,835.0,2020.13,124.0,300.0,13.0,31.45
CT,12.18,21.94,10.52,10.62,57464.0,82.28,26073.0,26394.0,21336.0,12285.0,18928.0,6846.0,15005.0,2.35,9.41,46.21,2.84,69.97,27901.0,2.64,0.93,95.98,2.43,2.01,7.7,86.01,1901.0,9.42,16.89,395.0,0.0,0.0,0,0.0,4.0,14.32,1.0,3.58,10.0,35.8,92.0,329.35,425.0,1521.44,15.0,53.7,1.0,3.58
CT,12.42,21.68,10.88,14.1,60634.0,79.88,25048.0,24835.0,49018.0,9832.0,15983.0,0.0,18296.0,1.98,16.25,36.0,4.41,63.74,32016.0,2.95,1.27,96.77,1.68,1.76,4.67,88.04,3061.0,5.88,9.41,252.0,0.0,0.0,0,0.0,2.0,6.15,13.0,40.0,6.0,18.46,155.0,476.91,979.0,3012.22,275.0,846.13,0.0,0.0
CT,14.03,24.16,11.82,7.42,59967.0,88.98,21441.0,21220.0,23150.0,59761.0,38986.0,9872.0,21273.0,2.09,10.87,36.09,4.25,72.06,16896.0,3.11,1.65,96.61,1.3,2.11,5.53,88.97,972.0,1.65,2.37,170.0,0.0,0.0,0,0.0,0.0,0.0,4.0,23.32,13.0,75.8,94.0,548.1,184.0,1072.89,17.0,99.13,3.0,17.49
CT,13.01,28.95,13.89,10.16,43832.0,83.63,19300.0,20370.0,13148.0,15530.0,12004.0,9045.0,10780.0,5.76,23.53,26.92,5.4,67.83,65585.0,2.72,6.57,86.75,3.94,7.69,9.92,74.79,9838.0,17.87,30.54,1856.0,65.0,41.0,1,1.55,12.0,18.55,71.0,109.78,88.0,136.06,546.0,844.22,2405.0,3718.59,401.0,620.02,12.0,18.55
CT,13.43,30.11,15.54,15.26,30121.0,74.42,14715.0,16016.0,10826.0,27465.0,12313.0,6298.0,7224.0,12.8,35.25,16.67,7.84,60.21,75491.0,2.5,7.58,81.61,1.79,16.27,10.84,56.8,12444.0,12.83,21.27,2165.0,62.0,10.0,4,5.72,21.0,30.05,215.0,307.64,269.0,384.91,1083.0,1549.64,2865.0,4099.47,700.0,1001.62,1.0,1.43
CT,14.0,24.96,14.22,15.01,55752.0,78.41,26895.0,27083.0,17948.0,17288.0,17807.0,29269.0,18958.0,3.61,13.43,40.91,4.16,61.91,53418.0,2.76,0.82,97.6,1.26,1.86,6.86,84.54,4215.0,9.44,13.59,833.0,22.0,8.0,3,5.53,1.0,1.84,35.0,64.54,84.40579710144928,127.75521739130433,506.0,933.1,1180.0,2176.0,378.0,697.06,4.0,7.38
CT,11.33,25.03,11.4,13.1,39864.0,80.07,18031.0,18053.0,21172.0,12000.0,18092.0,10113.0,14005.0,4.56,20.88,18.61,4.71,66.91,14288.0,2.55,0.8,98.04,0.78,1.31,8.73,80.96,512.0,4.1,5.47,273.0,0.0,0.0,0,0.0,4.0,27.65,1.0,6.91,26.0,179.74,85.0,587.63,227.0,1569.31,41.0,283.44,4.0,27.65
CT,11.46,21.5,10.78,18.84,49642.0,75.2,26943.0,27601.0,14532.0,14196.0,18908.0,10423.0,15557.0,3.63,12.68,46.63,3.96,60.22,60110.0,2.51,2.18,93.98,2.84,3.15,7.19,82.81,7424.0,13.81,18.14,1105.0,0.0,0.0,1,1.66,1.0,1.66,78.0,129.61,56.0,93.05,580.0,963.78,1512.0,2512.46,213.0,353.94,9.0,14.96
CT,13.45,24.99,11.69,8.99,45884.0,85.1,17698.0,17793.0,16409.0,12898.0,21009.0,10218.0,9590.0,3.33,14.15,26.46,4.84,72.21,12767.0,2.74,1.02,96.77,1.03,2.93,9.91,82.14,361.0,19.67,21.05,752.0,46.0,0.0,0,0.0,0.0,0.0,4.0,30.4,5.0,38.0,78.0,592.75,143.0,1086.71,6.0,45.6,1.0,7.6
CT,12.09,22.0,11.22,16.12,49148.0,82.02,21335.0,21307.0,24326.0,43438.0,18012.0,17896.0,24756.0,2.45,17.51,26.35,3.69,66.69,22247.0,2.79,2.13,95.77,1.77,1.16,6.43,84.55,1287.0,3.34,4.58,260.0,0.0,0.0,0,0.0,1.0,4.44,8.0,35.52,10.0,44.4,124.0,550.5,555.0,2463.93,62.0,275.25,3.0,13.32
CT,11.35,25.35,11.25,15.41,34181.0,76.77,14833.0,15414.0,8713.0,17224.0,11847.0,10173.0,8896.0,7.59,27.16,12.52,7.55,62.13,18403.0,2.57,8.28,90.0,0.67,2.58,9.18,68.5,1398.0,6.15,10.8,344.0,0.0,0.0,2,11.02,2.0,11.02,14.0,77.11,45.0,247.85,86.0,473.67,364.0,2004.85,81.0,446.13,5.0,27.54
CT,13.25,22.59,11.04,12.44,50714.0,82.59,24281.0,24445.0,17359.0,17800.0,19657.0,0.0,12783.0,2.72,12.49,30.49,3.46,66.27,11427.0,2.74,1.55,96.9,1.21,0.86,7.58,81.9,424.0,14.15,14.15,208.0,0.0,0.0,0,0.0,0.0,0.0,1.0,8.74,4.0,34.97,25.0,218.53,92.0,804.2,10.0,87.41,1.0,8.74
CT,11.25,19.84,9.77,12.35,81957.0,82.81,45640.0,46184.0,45011.0,24087.0,23289.0,15227.0,23254.0,3.15,6.95,60.51,3.17,66.91,24410.0,2.63,1.07,96.97,1.63,2.24,8.95,84.73,2974.0,19.8,27.34,565.0,17.0,1.0,0,0.0,0.0,0.0,23.0,92.82,7.0,28.25,173.0,698.17,559.0,2255.94,79.0,318.82,3.0,12.11
CT,13.04,19.73,10.01,9.26,87686.0,84.23,41249.0,41544.0,19130.0,0.0,34575.0,85294.0,28641.0,3.02,5.34,62.17,3.83,65.37,15989.0,2.87,1.01,97.28,1.57,1.33,5.99,91.78,1288.0,11.34,13.82,256.0,0.0,0.0,0,0.0,0.0,0.0,2.0,12.32,5.0,30.81,54.0,332.7,152.0,936.48,10.0,61.61,1.0,6.16
CT,9.41,21.17,9.1,13.14,52979.0,81.1,28286.0,28331.0,24242.0,25000.0,28481.0,31547.0,16666.0,2.61,11.13,43.58,3.47,67.2,20608.0,2.51,1.31,96.22,2.08,1.16,8.53,86.77,1538.0,7.74,11.77,441.0,7.0,0.0,0,0.0,2.0,9.69,7.0,33.93,5.0,24.23,117.0,567.08,643.0,3116.52,80.0,387.75,0.0,0.0
